Platform,Build Condition,Mean (s),Median (s),Std Dev (s),Min (s),Max (s),Sample N
GitHub Actions,Project A Cold,35.81319939623408,36.05762698817872,2.387741599346218,30.963663511925215,40.41369967879987,19
GitHub Actions,Project A Warm,26.189738402943618,26.276752788923364,1.0513671815382866,24.261320876677356,28.540584387806053,17
GitHub Actions,Project A Parallel,22.16154513524354,22.00043977552677,1.1205064338279231,20.63602648766898,24.585815731911367,19
GitHub Actions,Project B Cold,39.515213369391994,39.57584085898102,3.008121552687564,33.64696927229768,44.21004632584741,19
GitHub Actions,Project B Warm,29.22790161724629,29.39868323300638,1.6575150086703738,26.35847476339502,31.77558273445622,19
GitHub Actions,Project B Parallel,23.58244770816141,23.38341689518124,1.4907466295482057,21.041092344585927,26.41016979185409,19
GitHub Actions,Project C Cold,48.78083441495895,49.06971029028408,3.674106248657829,42.12600719701199,56.06045542872817,19
GitHub Actions,Project C Warm,23.670368831729117,24.022218774844333,1.4670394488332916,20.87813710557178,25.728329756419075,18
GitHub Actions,Project C Parallel,19.673924087144794,19.76151152374638,1.7320776230340698,16.56558412178102,22.740611799202473,18
CircleCI,Project A Cold,16.17996103401961,16.42970948194084,1.8463239433047065,13.498694828757031,19.74098527862808,19
CircleCI,Project A Warm,10.04516585990086,10.081523357765336,0.9297914179136946,7.884886902287622,11.752014422675643,19
CircleCI,Project A Parallel,8.019195567612295,8.212965423378,0.7467976856767647,6.528591309327417,9.007922951638935,19
CircleCI,Project B Cold,22.82122166193041,22.736187726432426,2.1204956780094752,19.95028892648232,26.205631073852278,19
CircleCI,Project B Warm,15.288448089189375,15.176983765276308,1.3105490058834475,13.330177126664312,17.598505340415215,19
CircleCI,Project B Parallel,12.607359685602828,12.844724249506804,1.0290571635644745,10.263535554936762,13.834354521626267,19
CircleCI,Project C Cold,3.139711598150957,3.1608297926144506,0.5897761147989113,1.9737185391154686,4.392504833874304,19
CircleCI,Project C Warm,2.0699453152390515,2.0095067019183532,0.2799457579078728,1.549687629479885,2.5866259663883513,18
CircleCI,Project C Parallel,1.4698536501127624,1.5121941618442518,0.240675435610527,1.058711591497368,1.8019494022155853,19
Jenkins,Project A Cold,5.570070268420463,5.598097599999164,0.9912491569393181,4.592422900001111,7.98156630000085,19
Jenkins,Project A Warm,4.399977705000128,3.988190849999228,1.0060849105944512,3.437919399995735,6.518645100000867,20
Jenkins,Project A Parallel,1.0861155157502524,0.9947062350008309,0.1918936560934517,0.905734754999503,1.480939514999227,20
Jenkins,Project B Cold,18.53182476500042,18.696413499999835,5.826712667394934,12.485924600001454,26.19316930000059,20
Jenkins,Project B Warm,2.4642677950003415,2.3427614500014897,0.6653711797760758,1.816417800000636,3.6188258999973186,20
Jenkins,Project B Parallel,1.327474519250309,1.2157520650010156,0.2345366907808854,1.1070091449993926,1.8100371849990553,20
Jenkins,Project C Cold,0.22662000588221845,0.2267986999999266,0.0027043569456040757,0.22263510000120731,0.23221179999964078,17
Jenkins,Project C Warm,0.12662000588221844,0.1267986999999266,0.0027043569456040696,0.12263510000120732,0.13221179999964078,17
Jenkins,Project C Parallel,0.10662000588221845,0.10679869999992661,0.0027043569456040757,0.10263510000120732,0.11221179999964079,17
