Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
Local Benchmark Execution,Jenkins,Project A,1,Cold,41.55283639999834,Success
Local Benchmark Execution,Jenkins,Project A,2,Cold,4.608861000000616,Success
Local Benchmark Execution,Jenkins,Project A,3,Cold,4.67974139999933,Success
Local Benchmark Execution,Jenkins,Project A,4,Cold,4.702558699998917,Success
Local Benchmark Execution,Jenkins,Project A,5,Cold,4.70302459999948,Success
Local Benchmark Execution,Jenkins,Project A,6,Cold,4.835563799999363,Success
Local Benchmark Execution,Jenkins,Project A,7,Cold,4.592422900001111,Success
Local Benchmark Execution,Jenkins,Project A,8,Cold,4.681332599997404,Success
Local Benchmark Execution,Jenkins,Project A,9,Cold,4.837206599997444,Success
Local Benchmark Execution,Jenkins,Project A,10,Cold,4.705129099998885,Success
Local Benchmark Execution,Jenkins,Project A,1,Warm,3.7738213000011456,Success
Local Benchmark Execution,Jenkins,Project A,2,Warm,3.517701800003124,Success
Local Benchmark Execution,Jenkins,Project A,3,Warm,3.520083799998247,Success
Local Benchmark Execution,Jenkins,Project A,4,Warm,3.51837329999762,Success
Local Benchmark Execution,Jenkins,Project A,5,Warm,3.4684704999999667,Success
Local Benchmark Execution,Jenkins,Project A,6,Warm,3.497635600004287,Success
Local Benchmark Execution,Jenkins,Project A,7,Warm,3.503786500001297,Success
Local Benchmark Execution,Jenkins,Project A,8,Warm,3.5017163999982586,Success
Local Benchmark Execution,Jenkins,Project A,9,Warm,3.5560764000001654,Success
Local Benchmark Execution,Jenkins,Project A,10,Warm,3.437919399995735,Success
Local Benchmark Execution,Jenkins,Project A,1,Parallel,0.9340757999993002,Success
Local Benchmark Execution,Jenkins,Project A,2,Parallel,0.9357412950002981,Success
Local Benchmark Execution,Jenkins,Project A,3,Parallel,0.905734754999503,Success
Local Benchmark Execution,Jenkins,Project A,4,Parallel,0.9397833750013888,Success
Local Benchmark Execution,Jenkins,Project A,5,Parallel,0.9289541699994516,Success
Local Benchmark Execution,Jenkins,Project A,6,Parallel,0.9502782750001643,Success
Local Benchmark Execution,Jenkins,Project A,7,Parallel,0.9102309749994675,Success
Local Benchmark Execution,Jenkins,Project A,8,Parallel,0.9564125850003621,Success
Local Benchmark Execution,Jenkins,Project A,9,Parallel,0.9139873499991155,Success
Local Benchmark Execution,Jenkins,Project A,10,Parallel,0.9251995950004129,Success
Local Benchmark Execution,Jenkins,Project B,1,Cold,15.665026200000284,Success
Local Benchmark Execution,Jenkins,Project B,2,Cold,12.800796399998944,Success
Local Benchmark Execution,Jenkins,Project B,3,Cold,12.487656399996922,Success
Local Benchmark Execution,Jenkins,Project B,4,Cold,12.737136499999906,Success
Local Benchmark Execution,Jenkins,Project B,5,Cold,12.802835099999356,Success
Local Benchmark Execution,Jenkins,Project B,6,Cold,12.556152900000598,Success
Local Benchmark Execution,Jenkins,Project B,7,Cold,12.807374400003027,Success
Local Benchmark Execution,Jenkins,Project B,8,Cold,12.66452279999794,Success
Local Benchmark Execution,Jenkins,Project B,9,Cold,12.485924600001454,Success
Local Benchmark Execution,Jenkins,Project B,10,Cold,12.637133799998992,Success
Local Benchmark Execution,Jenkins,Project B,1,Warm,1.8436926000031235,Success
Local Benchmark Execution,Jenkins,Project B,2,Warm,1.8263828999952239,Success
Local Benchmark Execution,Jenkins,Project B,3,Warm,1.8271586000009847,Success
Local Benchmark Execution,Jenkins,Project B,4,Warm,1.855461600000126,Success
Local Benchmark Execution,Jenkins,Project B,5,Warm,1.8634267000015825,Success
Local Benchmark Execution,Jenkins,Project B,6,Warm,1.870656200000667,Success
